|HOUR|MONTH|COLLISION_COUNT|
|0   |11   |752            |
|21  |9    |751            |
|7   |10   |749            |
|21  |7    |749            |
|20  |7    |746            |
|0   |7    |734            |
|7   |11   |723            |
|0   |12   |722            |
|21  |8    |720            |
|0   |9    |712            |
|21  |6    |702            |
|22  |6    |698            |
|7   |5    |696            |
|21  |5    |696            |
|20  |1    |692            |
|20  |2    |692            |
|0   |10   |688            |
|22  |5    |685            |
|7   |9    |682            |
|21  |11   |680            |
|22  |7    |672            |
|21  |4    |669            |
|21  |10   |661            |
|0   |4    |659            |
|21  |12   |656            |
|22  |8    |653            |
|21  |3    |649            |
|0   |3    |648            |
|22  |9    |648            |
|7   |6    |635            |
|22  |10   |629            |
|22  |11   |619            |
|7   |3    |599            |
|22  |12   |595            |
|0   |1    |592            |
|23  |7    |588            |
|23  |5    |585            |
|23  |6    |583            |
|7   |1    |582            |
|22  |4    |574            |
|7   |12   |564            |
|22  |3    |558            |
|7   |4    |548            |
|23  |8    |547            |
|0   |2    |539            |
|7   |7    |539            |
|7   |2    |535            |
|21  |1    |535            |
|6   |10   |511            |
|23  |12   |502            |
|7   |8    |496            |
|22  |1    |496            |
|23  |9    |493            |
|22  |2    |491            |
|21  |2    |484            |
|23  |10   |475            |
|6   |11   |460            |
|23  |4    |460            |
|6   |1    |459            |
|23  |3    |458            |
|6   |12   |451            |
|6   |3    |435            |
|23  |11   |430            |
|6   |6    |420            |
|6   |5    |417            |
|23  |1    |397            |
|23  |2    |375            |
|6   |9    |371            |
|6   |7    |370            |
|6   |2    |364            |
|6   |8    |363            |
|1   |7    |352            |
|1   |8    |333            |
|1   |12   |333            |
|6   |4    |333            |
|1   |11   |316            |
|1   |5    |315            |
|1   |4    |312            |
|1   |9    |306            |
|5   |11   |291            |
|1   |10   |284            |
|1   |6    |282            |
|5   |1    |282            |
|5   |10   |282            |
|1   |1    |280            |
|5   |12   |279            |
|5   |3    |273            |
|4   |10   |262            |
|2   |12   |261            |
|2   |9    |257            |
|4   |1    |253            |
|5   |6    |253            |
|2   |8    |252            |
|5   |4    |251            |
|5   |8    |250            |
|5   |9    |249            |
|5   |5    |248            |
|5   |7    |245            |
|4   |12   |244            |
|4   |5    |241            |
|1   |3    |237            |
|1   |2    |236            |
|2   |6    |236            |
|2   |1    |235            |
|2   |7    |234            |
|4   |4    |234            |
|4   |3    |231            |
|4   |11   |231            |
|4   |7    |227            |
|3   |3    |226            |
|2   |10   |225            |
|5   |2    |224            |
|4   |9    |223            |
|2   |5    |220            |
|4   |6    |219            |
|2   |4    |213            |
|3   |12   |213            |
|3   |7    |212            |
|3   |10   |208            |
|3   |8    |205            |
|4   |8    |203            |
|4   |2    |197            |
|3   |9    |195            |
|3   |5    |192            |
|3   |6    |191            |
|2   |3    |188            |
|2   |11   |186            |
|3   |1    |185            |
|3   |11   |185            |
|3   |4    |176            |
|3   |2    |164            |
|2   |2    |156            |
